Top,中文名称,其他名称,是否可播放,导演,主演,发布年份,发布国家,电影类型,电影评分,评价人数,引言
103,寄生虫,  寄生上流(台)    上流寄生族(港),未知,"导演:,奉俊昊,Joon-ho,Bong","主演:,宋康昊,Kang-ho,Song,/,李善均,Seon-gyun...",2019,韩国,剧情,8.8,1568932人评价,暂无引言
104,甜蜜蜜,  Comrades: Almost a Love Story,可播放,"导演:,陈可辛,Peter,Chan","主演:,黎明,Leon,Lai,/,张曼玉,Maggie,Cheung,/,...",1996,中国香港,"爱情,剧情",8.9,685665人评价,暂无引言
105,蝙蝠侠：黑暗骑士崛起,  蝙蝠侠前传3：黑暗骑士崛起    黑暗骑士：黎明升起(台),可播放,"导演:,克里斯托弗·诺兰,Christopher,Nolan","主演:,克里斯蒂安·贝尔,Christ...",2012,"英国,美国","惊悚,犯罪,科幻,动作,剧情",8.9,829812人评价,诺兰就是保证。
106,天书奇谭,  天书奇谭4K纪念版    The Legend of Sealed Book,可播放,"导演:,王树忱,Shuchen,Wang,/,钱运达,Yunda,Qian","主演:,丁建华,Jianhua,Din...,1983(中国大陆),/",2021,中国大陆,"奇幻,动画",9.2,343601人评价,暂无引言
107,超能陆战队,  大英雄联盟(港)    大英雄天团(台),可播放,"导演:,唐·霍尔,Don,Hall,/,克里斯·威廉姆斯,Chris,Williams","主演:,斯科特...",2014,美国,"冒险,动画,科幻,动作,喜剧",8.8,1163278人评价,Balalala~~~
108,茶馆,  The Teahouse,可播放,"导演:,谢添,Tian,Xie","主演:,于是之,Shizhi,Yu,/,郑榕,Rong,Zhen,/,蓝天野,T...",1982(中国大陆),中国大陆,"历史,剧情",9.5,217388人评价,暂无引言
109,第六感,  鬼眼(港)    灵异第六感(台),可播放,"导演:,M·奈特·沙马兰,M.,Night,Shyamalan","主演:,布鲁斯·威利斯,Bruce,Wi...",1999,美国,"惊悚,悬疑,剧情",8.9,650612人评价,暂无引言
110,7号房的礼物,  戆爸的礼物(港)    7号囚房的礼物,可播放,"导演:,李焕庆,Hwan-kyeong,Lee","主演:,柳承龙,Seung-yong,Ryoo,/,朴信惠,Shi...",2013,韩国,"家庭,喜剧,剧情",8.9,630127人评价,《我是山姆》的《美丽人生》。
111,爱在日落黄昏时,  日落巴黎(港)    爱在日落巴黎时(台),可播放,"导演:,理查德·林克莱特,Richard,Linklater","主演:,伊桑·霍克,Ethan,Hawke,...",2004,"法国,美国","爱情,剧情",8.9,667568人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
112,爱在黎明破晓前,  情留半天(港)    爱在黎明破晓时(台),可播放,"导演:,理查德·林克莱特,Richard,Linklater","主演:,伊桑·霍克,Ethan,Hawke,...",1995,"瑞士,奥地利,美国","爱情,剧情",8.8,817790人评价,暂无引言
113,头脑特工队,  玩转脑朋友(港)    脑筋急转弯(台),可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,8.9,824664人评价,愿我们都不用长大，每一座城堡都能永远存在。
114,哈利·波特与火焰杯,  哈利波特4：火杯的考验(港  台) ,可播放,"导演:,迈克·内威尔,Mike,Newell","主演:,丹尼尔·雷德克里夫,Daniel,Radclif...",2005,"美国,英国","冒险,奇幻,悬疑",8.8,818383人评价,暂无引言
115,未麻的部屋,  蓝色恐惧(港  台) ,未知,"导演:,今敏,Satoshi,Kon","主演:,岩男润子,Junko,Iwao,/,松本梨香,Rica,Matsu...",1997,日本,"惊悚,悬疑,动画,犯罪,剧情",9.1,435152人评价,暂无引言
116,被嫌弃的松子的一生,  花样奇缘(港)    令人讨厌的松子的一生(台),可播放,"导演:,中岛哲也,Tetsuya,Nakashima","主演:,中谷美纪,Miki,Nakatani,/,瑛太,E...",2006,日本,"歌舞,剧情",8.8,783522人评价,以戏谑来戏谑戏谑。
117,重庆森林,  Chungking Express,未知,"导演:,王家卫,Kar,Wai,Wong","主演:,林青霞,Brigitte,Lin,/,金城武,Takeshi,K...",1994,中国香港,"爱情,剧情",8.8,935907人评价,暂无引言
118,借东西的小人阿莉埃蒂,  借物少女艾莉缇(台)    借东西的小矮人亚莉亚蒂(港),未知,"导演:,米林宏昌,Hiromasa,Yonebayashi","主演:,志田未来,Mirai,Shida,/,神木...",2010,日本,"冒险,奇幻,动画",8.9,637692人评价,曾经的那段美好会沉淀为一辈子的记忆。
119,菊次郎的夏天,  菊次郎之夏    Kikujirô no natsu,可播放,"导演:,北野武,Takeshi,Kitano","主演:,北野武,Takeshi,Kitano,/,关口雄介,Yus...",1999,日本,"喜剧,剧情",8.9,684368人评价,暂无引言
120,入殓师,  礼仪师之奏鸣曲(港)    礼仪师(台),可播放,"导演:,泷田洋二郎,Yôjirô,Takita","主演:,本木雅弘,Masahiro,Motoki,/,...",2008,日本,剧情,8.9,750517人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
121,断背山,  断臂山    BBM,可播放,"导演:,李安,Ang,Lee","主演:,希斯·莱杰,Heath,Ledger,/,杰克·吉伦哈尔,Jake...",2005,"加拿大,美国","家庭,同性,爱情,剧情",8.8,794289人评价,每个人心中都有一座断背山。
122,剪刀手爱德华,  幻海奇缘(港)    剪刀手爱德华,可播放,"导演:,蒂姆·波顿,Tim,Burton","主演:,约翰尼·德普,Johnny,Depp,/,薇诺娜·...",1990,美国,"奇幻,爱情,剧情",8.7,1131675人评价,暂无引言
123,勇敢的心,  惊世未了缘(港)    梅尔吉勃逊之英雄本色(台),可播放,"导演:,梅尔·吉布森,Mel,Gibson","主演:,梅尔·吉布森,Mel,Gibson,/,苏菲·玛...",1995,美国,"战争,历史,剧情,传记,动作",8.9,612088人评价,暂无引言
124,时空恋旅人,  回到最爱的一天(港)    真爱每一天(台),可播放,"导演:,理查德·柯蒂斯,Richard,Curtis","主演:,多姆纳尔·格里森,Domhnall,Gl...",2013,"美国,英国","奇幻,爱情,喜剧",8.8,808931人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
125,玩具总动员3,  反斗奇兵3(港)    玩具的故事3,可播放,"导演:,李·昂克里奇,Lee,Unkrich","主演:,汤姆·汉克斯,Tom,Hanks,/,蒂姆·艾...",2010,美国,"冒险,奇幻,动画,喜剧",8.9,611467人评价,跨度十五年的欢乐与泪水。
126,傲慢与偏见,  傲慢与偏见2005    Pride And Prejudice,可播放,"导演:,乔·怀特,Joe,Wright","主演:,凯拉·奈特莉,Keira,Knightley,/,马修·...",2005,"美国,英国,法国","爱情,剧情",8.7,957753人评价,爱是摈弃傲慢与偏见之后的曙光。
127,驯龙高手,  驯龙记(港),可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,8.8,880823人评价,和谐的生活离不开摸头与被摸头。
128,消失的爱人,  失踪的女孩    失踪女孩,可播放,"导演:,大卫·芬奇,David,Fincher","主演:,本·阿弗莱克,Ben,Affleck,/,罗莎蒙...",2014,美国,"惊悚,悬疑,犯罪,剧情",8.7,1088530人评价,年度最佳date movie。
129,新世界,  暗黑新世界(台)    New World,可播放,"导演:,朴勋政,Hoon-jung,Park","主演:,李政宰,Jung-Jae,Lee,/,崔岷植,Min-sik...",2013,韩国,"犯罪,剧情",8.9,539462人评价,要做就做得狠一点，这样才能活下去。
130,无人知晓,  谁知赤子心(港)    无人知晓的夏日清晨(台),可播放,"导演:,是枝裕和,Hirokazu,Koreeda","主演:,柳乐优弥,Yûya,Yagira,/,北浦爱...",2004,日本,剧情,9.1,379232人评价,我的平常生活就是他人的幸福。
131,倩女幽魂,  倩女幽魂(87版)    倩女幽魂：妖魔道,可播放,"导演:,程小东,Siu-Tung,Ching","主演:,张国荣,Leslie,Cheung,/,王祖贤,Joey,W...",1987,中国香港,"古装,武侠,奇幻,爱情",8.8,846625人评价,暂无引言
132,花样年华,  花样年华导演特别版    花样年华4K修复版,可播放,"导演:,王家卫,Kar,Wai,Wong","主演:,张曼玉,Maggie,Cheung,/,梁朝伟,Tony,Leu...",2000,中国香港,"爱情,剧情",8.8,821515人评价,暂无引言
133,一个叫欧维的男人决定去死,  明天别再来敲门(台)    想死冇咁易(港),可播放,"导演:,汉内斯·赫尔姆,Hannes,Holm","主演:,罗夫·拉斯加德,Rolf,Lassgård...",2015,瑞典,剧情,8.9,580890人评价,惠及一生的美丽。
134,色，戒,  色|戒    色·戒,未知,"导演:,李安,Ang,Lee","主演:,梁朝伟,Tony,Leung,Chiu,Wai,/,汤唯,Wei,Tang,/,...",2007,"中国香港,美国,中国大陆,中国台湾","情色,爱情,剧情",8.7,980256人评价,假戏真情，爱欲深海
135,完美的世界,  强盗保镳,可播放,"导演:,克林特·伊斯特伍德,Clint,Eastwood","主演:,凯文·科斯特纳,Kevin,Cos...",1993,美国,"犯罪,剧情",9.1,366095人评价,暂无引言
