Top,中文名称,其他名称,是否可播放,导演,主演,发布年份,发布国家,电影类型,电影评分,评价人数,引言
1,肖申克的救赎,  月黑高飞(港)    刺激1995(台),未知,"导演:,弗兰克·德拉邦特,Frank,Darabont","主演:,蒂姆·罗宾斯,Tim,Robbins,/...",1994,美国,"剧情,犯罪",9.7,3335814人评价,希望让人自由。
2,霸王别姬,  再见，我的妾    Farewell My Concubine,可播放,"导演:,陈凯歌,Kaige,Chen","主演:,张国荣,Leslie,Cheung,/,张丰毅,Fengyi,Zha...",1993,"中国香港,中国大陆","同性,爱情,剧情",9.6,2451882人评价,风华绝代。
3,泰坦尼克号,  铁达尼号(港  台),可播放,"导演:,詹姆斯·卡梅隆,James,Cameron","主演:,莱昂纳多·迪卡普里奥,Leonardo...",1997,美国,"灾难,爱情,剧情",9.5,2529225人评价,失去的才是永恒的。 
4,阿甘正传,  福雷斯特·冈普,可播放,"导演:,罗伯特·泽米吉斯,Robert,Zemeckis","主演:,汤姆·汉克斯,Tom,Hanks,/,...",1994,美国,"爱情,剧情",9.5,2456602人评价,一部美国近现代史。
5,千与千寻,  神隐少女(台)    千与千寻的神隐,未知,"导演:,宫崎骏,Hayao,Miyazaki","主演:,柊瑠美,Rumi,Hîragi,/,入野自由,Miy...",2001,日本,"奇幻,动画,剧情",9.4,2568049人评价,最好的宫崎骏，最好的久石让。 
6,星际穿越,  星际启示录(港)    星际效应(台),可播放,"导演:,克里斯托弗·诺兰,Christopher,Nolan","主演:,马修·麦康纳,Matthew,Mc...",2014,"加拿大,英国,美国","冒险,科幻,剧情",9.4,2223788人评价,爱是一种力量，让我们超越时空感知它的存在。
7,美丽人生,  一个快乐的传说(港)    Life Is Beautiful,可播放,"导演:,罗伯托·贝尼尼,Roberto,Benigni","主演:,罗伯托·贝尼尼,Roberto,Beni...",1997,意大利,"战争,爱情,喜剧,剧情",9.5,1497927人评价,最美的谎言。
8,这个杀手不太冷,  终极追杀令(台)    杀手莱昂,可播放,"导演:,吕克·贝松,Luc,Besson","主演:,让·雷诺,Jean,Reno,/,娜塔莉·波特曼,...",1994,"美国,法国","犯罪,动作,剧情",9.4,2576166人评价,怪蜀黍和小萝莉不得不说的故事。
9,盗梦空间,  潜行凶间(港)    全面启动(台),可播放,"导演:,克里斯托弗·诺兰,Christopher,Nolan","主演:,莱昂纳多·迪卡普里奥,Le...",2010,"英国,美国","冒险,悬疑,科幻,剧情",9.4,2355747人评价,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,  真人Show(港)    真人戏,可播放,"导演:,彼得·威尔,Peter,Weir","主演:,金·凯瑞,Jim,Carrey,/,劳拉·琳妮,Lau...",1998,美国,"科幻,剧情",9.4,2049389人评价,如果再也不能见到你，祝你早安，午安，晚安。
11,辛德勒的名单,  舒特拉的名单(港)    辛德勒名单,可播放,"导演:,史蒂文·斯皮尔伯格,Steven,Spielberg","主演:,连姆·尼森,Liam,Neeson...",1993,美国,"战争,历史,剧情",9.5,1260073人评价,拯救一个人，就是拯救整个世界。
12,忠犬八公的故事,  秋田犬八千(港)    忠犬小八(台),未知,"导演:,莱塞·霍尔斯道姆,Lasse,Hallström","主演:,理查·基尔,Richard,Ger...",2009,"英国,美国",剧情,9.4,1558278人评价,永远都不能忘记你所爱的人。
13,海上钢琴师,  声光伴我飞(港)    一九零零的传奇,可播放,"导演:,朱塞佩·托纳多雷,Giuseppe,Tornatore","主演:,蒂姆·罗斯,Tim,Roth,/,...",1998,意大利,"音乐,剧情",9.3,1899365人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,疯狂动物城,  优兽大都会(港)    动物方城市(台),可播放,"导演:,拜伦·霍华德,Byron,Howard,/,瑞奇·摩尔,Rich,Moore","主演:,金妮弗·...",2016,美国,"冒险,动画,喜剧",9.3,2355001人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
15,三傻大闹宝莱坞,  三个傻瓜(台)    作死不离3兄弟(港),可播放,"导演:,拉库马·希拉尼,Rajkumar,Hirani","主演:,阿米尔·汗,Aamir,Khan,/,卡...",2009,印度,"歌舞,爱情,喜剧,剧情",9.2,2101094人评价,英俊版憨豆，高情商版谢耳朵。
16,机器人总动员,  太空奇兵·威E(港)    瓦力(台),可播放,"导演:,安德鲁·斯坦顿,Andrew,Stanton","主演:,本·贝尔特,Ben,Burtt,/,艾丽...",2008,美国,"冒险,动画,科幻",9.3,1522082人评价,小瓦力，大人生。
17,放牛班的春天,  歌声伴我心(港)    唱诗班男孩,可播放,"导演:,克里斯托夫·巴拉蒂,Christophe,Barratier","主演:,让-巴蒂斯特·莫尼...",2004,"德国,瑞士,法国","音乐,剧情",9.3,1490347人评价,天籁一般的童声，是最接近上帝的存在。 
18,无间道,  Infernal Affairs    Mou gaan dou,可播放,"导演:,刘伟强,/,麦兆辉","主演:,刘德华,Andy,Lau,/,梁朝伟,Tony,Leung,Chiu,W...",2002,中国香港,"惊悚,犯罪,剧情",9.3,1586000人评价,香港电影史上永不过时的杰作。
19,控方证人,  雄才伟略    情妇,可播放,"导演:,比利·怀尔德,Billy,Wilder","主演:,泰隆·鲍华,Tyrone,Power,/,玛琳·...",1957,美国,"惊悚,悬疑,犯罪,剧情",9.6,760905人评价,比利·怀德满分作品。
20,寻梦环游记,  玩转极乐园(港)    可可夜总会(台),可播放,"导演:,李·昂克里奇,Lee,Unkrich,/,阿德里安·莫利纳,Adrian,Molina","主演:,...",2017,美国,"音乐,奇幻,动画,喜剧",9.1,2023685人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
21,大话西游之大圣娶亲,  西游记完结篇仙履奇缘    齐天大圣西游记,可播放,"导演:,刘镇伟,Jeffrey,Lau","主演:,周星驰,Stephen,Chow,/,吴孟达,Man,Tat,Ng...",1995,"中国大陆,中国香港","古装,奇幻,爱情,喜剧",9.2,1729390人评价,一生所爱。
22,熔炉,  无声呐喊(港)    漩涡,未知,"导演:,黄东赫,Dong-hyuk,Hwang","主演:,孔侑,Yoo,Gong,/,郑有美,Yu-mi,Jung,/...",2011,韩国,剧情,9.3,1045852人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
23,触不可及,  闪亮人生(港)    逆转人生(台),可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,9.3,1313278人评价,满满温情的高雅喜剧。
24,教父,  Mario Puzo's The Godfather,可播放,"导演:,弗朗西斯·福特·科波拉,Francis,Ford,Coppola","主演:,马龙·白兰度,M...",1972,美国,"犯罪,剧情",9.3,1122215人评价,千万不要记恨你的对手，这样会让你失去理智。
25,哈利·波特与魔法石,  哈利波特1：神秘的魔法石(港  台) ,可播放,"导演:,Chris,Columbus","主演:,Daniel,Radcliffe,/,Emma,Watson,/,Rupert,Grint",2001,"英国,美国","冒险,奇幻",9.2,1445318人评价,童话世界的开端。
26,末代皇帝,  末代皇帝溥仪(港)    L'ultimo imperatore,可播放,"导演:,贝纳尔多·贝托鲁奇,Bernardo,Bertolucci","主演:,尊龙,John,Lone,/,陈...",1987,"法国,中国大陆,意大利,英国","历史,传记,剧情",9.3,1042922人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,当幸福来敲门,  寻找快乐的故事(港)    追求快乐,可播放,"导演:,加布里尔·穆奇诺,Gabriele,Muccino","主演:,威尔·史密斯,Will,Smith,...",2006,美国,"家庭,传记,剧情",9.1,1705721人评价,平民励志片。 
28,龙猫,  邻居托托罗    邻家的豆豆龙,可播放,"导演:,宫崎骏,Hayao,Miyazaki","主演:,日高法子,Noriko,Hidaka,/,坂本千夏,Ch...",1988,日本,"冒险,奇幻,动画",9.2,1426600人评价,人人心中都有个龙猫，童年就永远不会消失。
29,活着,  人生    Lifetimes,未知,"导演:,张艺谋,Yimou,Zhang","主演:,葛优,You,Ge,/,巩俐,Li,Gong,/,姜武,Wu,Jiang",1994,"中国香港,中国大陆","家庭,历史,剧情",9.3,983345人评价,张艺谋最好的电影。
30,怦然心动,  萌动青春    青春萌动,可播放,"导演:,罗伯·莱纳,Rob,Reiner","主演:,玛德琳·卡罗尔,Madeline,Carroll,/,卡...",2010,美国,"爱情,喜剧,剧情",9.1,2073373人评价,真正的幸福是来自内心深处。
31,蝙蝠侠：黑暗骑士,  蝙蝠侠前传2：黑暗骑士    黑暗骑士(台),可播放,"导演:,克里斯托弗·诺兰,Christopher,Nolan","主演:,克里斯蒂安·贝尔,Christ...",2008,"英国,美国","惊悚,犯罪,科幻,动作,剧情",9.2,1211389人评价,无尽的黑暗。
32,指环王3：王者无敌,  魔戒三部曲：王者再临(台  港) ,可播放,"导演:,彼得·杰克逊,Peter,Jackson","主演:,伊利亚·伍德,Elijah,Wood,/,西恩...",2003,"新西兰,美国","冒险,奇幻,动作,剧情",9.3,922958人评价,史诗的终章。
33,我不是药神,  中国药神    印度药神,可播放,"导演:,文牧野,Muye,Wen","主演:,徐峥,Zheng,Xu,/,王传君,Chuanjun,Wang,/,周...",2018,中国大陆,"喜剧,剧情",9.0,2379450人评价,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,  飘,可播放,"导演:,维克多·弗莱明,Victor,Fleming,/,乔治·库克,George,Cukor","主演:,费...",1939,美国,"战争,爱情,历史,剧情",9.3,807537人评价,Tomorrow is another day.
35,让子弹飞,  让子弹飞一会儿    火烧云,可播放,"导演:,姜文,Wen,Jiang","主演:,姜文,Wen,Jiang,/,葛优,You,Ge,/,周润发,Yun-F...",2010,"中国香港,中国大陆","西部,动作,喜剧,剧情",9.0,1941538人评价,你给我翻译翻译，神马叫做TMD的惊喜。
36,飞屋环游记,  冲天救兵(港)    天外奇迹(台),可播放,"导演:,彼特·道格特,Pete,Docter,/,鲍勃·彼德森,Bob,Peterson","主演:,爱德...",2009,美国,"冒险,动画,喜剧,剧情",9.1,1520226人评价,最后那些最无聊的事情，才是最值得怀念的。 
37,哈尔的移动城堡,  哈尔移动城堡(港)    霍尔的移动城堡(台),可播放,"导演:,宫崎骏,Hayao,Miyazaki","主演:,倍赏千惠子,Chieko,Baishô,/,木村拓...",2004,日本,"冒险,奇幻,动画,爱情",9.1,1312407人评价,带着心爱的人在天空飞翔。
38,十二怒汉,  12怒汉    十二怒汉,可播放,"导演:,西德尼·吕美特,Sidney,Lumet","主演:,亨利·方达,Henry,Fonda,/,马丁...",1957,美国,剧情,9.4,588443人评价,1957年的理想主义。 
39,海蒂和爷爷,  飘零燕(港)    海蒂,可播放,"导演:,阿兰·葛斯彭纳,Alain,Gsponer","主演:,阿努克·斯特芬,Anuk,Steffen,/...",2015,"瑞士,德国","家庭,冒险,剧情",9.3,800579人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
40,素媛,  许愿    希望：为爱重生(台),未知,"导演:,李濬益,Jun-ik,Lee","主演:,薛景求,Kyung-gu,Sol,/,严志媛,Ji-won,Uhm,...",2013,韩国,剧情,9.3,785505人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
41,猫鼠游戏,  逍遥法外    捉智双雄(港),可播放,"导演:,史蒂文·斯皮尔伯格,Steven,Spielberg","主演:,莱昂纳多·迪卡普里奥,L...",2002,"加拿大,美国","剧情,犯罪,传记",9.1,1229923人评价,骗子大师和执著警探的你追我跑故事。 
42,天空之城,  天空之城拉普他    空中城堡拉普他,可播放,"导演:,宫崎骏,Hayao,Miyazaki","主演:,田中真弓,Mayumi,Tanaka,/,横泽启子,Ke...",1986,日本,"冒险,奇幻,动画",9.2,1021243人评价,对天空的追逐，永不停止。 
43,鬼子来了,  Devils on the Doorstep,未知,"导演:,姜文,Wen,Jiang","主演:,姜文,Wen,Jiang,/,香川照之,Teruyuki,Kagawa,/...",2000,中国大陆,"喜剧,剧情",9.3,725501人评价,对敌人的仁慈，就是对自己残忍。
44,摔跤吧！爸爸,  我和我的冠军女儿(台)    打死不离3父女(港),可播放,"导演:,涅提·蒂瓦里,Nitesh,Tiwari","主演:,阿米尔·汗,Aamir,Khan,/,法缇玛...",2016,印度,"家庭,运动,传记,剧情",9.0,1766363人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
45,少年派的奇幻漂流,  少年Pi的奇幻漂流    漂流少年Pi,可播放,"导演:,李安,Ang,Lee","主演:,苏拉·沙玛,Suraj,Sharma,/,伊尔凡·可汗,Irrfan...",2012,"加拿大,英国,中国台湾,美国","冒险,奇幻,剧情",9.1,1504748人评价,瑰丽壮观、无人能及的冒险之旅。
46,死亡诗社,  暴雨骄阳(港)    春风化雨(台),可播放,"导演:,彼得·威尔,Peter,Weir","主演:,罗宾·威廉姆斯,Robin,Williams,/,罗伯...",1989,美国,剧情,9.2,899643人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
47,钢琴家,  钢琴战曲(港)    战地琴人(台),可播放,"导演:,罗曼·波兰斯基,Roman,Polanski","主演:,艾德里安·布洛迪,Adrien,Brod...",2002,"美国,德国,波兰,法国,英国","音乐,战争,传记,剧情",9.3,760433人评价,暂无引言
48,指环王2：双塔奇兵,  魔戒二部曲：双城奇谋    指环王II：双塔,可播放,"导演:,彼得·杰克逊,Peter,Jackson","主演:,伊利亚·伍德,Elijah,Wood,/,西恩...",2002,"新西兰,美国","冒险,奇幻,动作,剧情",9.2,869658人评价,承前启后的史诗篇章。
49,大话西游之月光宝盒,  西游记101回月光宝盒    齐天大圣东游记,可播放,"导演:,刘镇伟,Jeffrey,Lau","主演:,周星驰,Stephen,Chow,/,吴孟达,Man,Tat,Ng...",1995,"中国大陆,中国香港","古装,奇幻,爱情,喜剧",9.0,1383678人评价,暂无引言
50,绿皮书,  绿簿旅友(港)    幸福绿皮书(台),可播放,"导演:,彼得·法雷里,Peter,Farrelly","主演:,维果·莫腾森,Viggo,Mortensen,/...",2018,"中国大陆,美国","音乐,传记,喜剧,剧情",8.9,1918350人评价,去除成见，需要勇气。
51,何以为家,  迦百农    星仔打官司(港),可播放,"导演:,娜丁·拉巴基,Nadine,Labaki","主演:,扎因·拉费阿,Zain,al-Rafeea,/,...",2018,"英国,卡塔尔,塞浦路斯,法国,美国,黎巴嫩",剧情,9.1,1173587人评价,凝视卑弱生命，用电影改变命运。
52,闻香识女人,  女人香    女人的芳香,可播放,"导演:,马丁·布莱斯,Martin,Brest","主演:,阿尔·帕西诺,Al,Pacino,/,克里斯...",1992,美国,剧情,9.1,1035882人评价,暂无引言
53,大闹天宫,  大闹天宫 上下集    The Monkey King,可播放,"导演:,万籁鸣,Laiming,Wan","主演:,邱岳峰,Yuefeng,Qiu,/,富润生,Runsheng,Fu...,1961(中国大陆),/,1964(中国大陆),/",1978(中国大陆),中国大陆,"古装,奇幻,动画,剧情",9.4,517697人评价,暂无引言
54,黑客帝国,  22世纪杀人网络(港)    廿二世纪杀人网络(港),可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,9.1,964390人评价,暂无引言
55,指环王1：护戒使者,  指环王1：魔戒再现    指环王I：护戒使者,可播放,"导演:,彼得·杰克逊,Peter,Jackson","主演:,伊利亚·伍德,Elijah,Wood,/,西恩...",2001,"英国,美国,新西兰","冒险,奇幻,动作,剧情",9.1,973851人评价,暂无引言
